w_time_s	WL_set	Mon	Brewer	BrewerDark	Brewer_dk	NLK	Brewer_dk_NL	BrewNL_Mon	Brewermicrom	Peak_steps	FWHM_steps	slit	mwl
3536881825	325.00052574369	8.777475e-07	549	342	51.75	0.0012102897887326	0.062632496566914	71355.938429804	4990	4882.5507352005	79.94888131162	2	325.75630946478
3536881832	325.00052574369	8.646476e-07	524	342	45.5	0.00027771549605686	0.012636055070587	14614.109922455	4995	4882.5507352005	79.94888131162	2	325.790529146195
3536881839	325.00052574369	8.690916e-07	514	342	43	0.00013289346220402	0.0057144188747729	6575.1629342326	5000	4882.5507352005	79.94888131162	2	325.824745
3536881846	325.00052574369	8.683485e-07	500	342	39.5	4.0004904347722e-05	0.001580193721735	1819.7690463391	5005	4882.5507352005	79.94888131162	2	325.858957026195
3536881853	325.00052574369	8.657746e-07	445	342	25.75	2.9288490944603e-08	7.5417864182354e-07	0.87110275795055	5010	4882.5507352005	79.94888131162	2	325.89316522478
3536881860	325.00052574369	8.719975e-07	403	342	15.25	2.5365743867914e-12	3.8682759398569e-11	4.4361089795061e-05	5015	4882.5507352005	79.94888131162	2	325.927369595755
3536881867	325.00052574369	8.648458e-07	377	342	8.75	7.1194597211081e-16	6.2295272559696e-15	7.2030496719411e-09	5020	4882.5507352005	79.94888131162	2	325.96157013912
3536881874	325.00052574369	8.740554e-07	363	342	5.25	3.3655873958197e-18	1.7669333828053e-17	2.0215347709142e-11	5025	4882.5507352005	79.94888131162	2	325.995766854875
3536881881	325.00052574369	8.648245e-07	328	342	-3.5	1.4416348733434e-25	-5.045722056702e-25	-5.8343884299092e-19	5030	4882.5507352005	79.94888131162	2	326.02995974302
3536881889	325.00052574369	8.788902e-07	340	342	-0.5	9.1400757638818e-23	-4.5700378819409e-23	-5.1997825006365e-17	5030	4882.3128890259	80.760269655825	2	326.02995974302
3536881896	325.00052574369	8.716367e-07	347	342	1.25	2.8638995376734e-21	3.5798744220917e-21	4.1070716986696e-15	5025	4882.3128890259	80.760269655825	2	325.995766854875
3536881903	325.00052574369	8.684457e-07	376	342	8.5	4.9734724747482e-16	4.227451603536e-15	4.8678364157206e-09	5020	4882.3128890259	80.760269655825	2	325.96157013912
3536881910	325.00052574369	8.700996e-07	404	342	15.5	3.3352780786286e-12	5.1696810218744e-11	5.9414818968706e-05	5015	4882.3128890259	80.760269655825	2	325.927369595755
3536881917	325.00052574369	8.650338e-07	438	342	24	8.1161007186398e-09	1.9478641724736e-07	0.22517781067902	5010	4882.3128890259	80.760269655825	2	325.89316522478
3536881924	325.00052574369	8.697167e-07	474	342	33	2.3161389119551e-06	7.6432584094518e-05	87.882162196631	5005	4882.3128890259	80.760269655825	2	325.858957026195
3536881931	325.00052574369	8.572048e-07	498	342	39	3.3113793258185e-05	0.0012914379370692	1506.568718548	5000	4882.3128890259	80.760269655825	2	325.824745
3536881938	325.00052574369	8.673035e-07	523	342	45.25	0.00025906024987841	0.011722476306998	13516.002537749	4995	4882.3128890259	80.760269655825	2	325.790529146195
3536881945	325.00052574369	8.661846e-07	543	342	50.25	0.00088783891035834	0.044613905245506	51506.232326812	4990	4882.3128890259	80.760269655825	2	325.75630946478
3536881952	325.00052574369	8.599498e-07	646	342	76	0.01541546768564	1.1715755441086	1362376.66909	4985	4882.3128890259	80.760269655825	2	325.722085955755
3536881959	325.00052574369	8.750948e-07	1011	342	167.25	0.032098890502076	5.3685394364722	6134808.9789497	4980	4882.3128890259	80.760269655825	2	325.68785861912
3536881966	325.00052574369	8.63476e-07	1899	342	389.25	0.038284879339213	14.902389282789	17258602.766943	4975	4882.3128890259	80.760269655825	2	325.653627454875
3536881974	325.00052574369	8.767655e-07	3175	342	708.25	0.058382582317513	41.349463926379	47161372.027502	4970	4882.3128890259	80.760269655825	2	325.61939246302
3536881981	325.00052574369	8.719446e-07	3407	342	766.25	0.06235304937021	47.778024079924	54794793.247098	4965	4882.3128890259	80.760269655825	2	325.585153643555
3536881988	325.00052574369	8.546479e-07	4471	342	1032.25	0.35360277207815	365.00646147767	427084020.77355	4960	4882.3128890259	80.760269655825	2	325.55091099648
3536881995	325.00052574369	8.708486e-07	4496	342	1038.5	0.35993899516154	373.79664647526	429232643.28065	4955	4882.3128890259	80.760269655825	2	325.516664521795
