date_matlab year month day hour min seg Solar_Zenith_angle(º) Total_Column_O3total(E18mole/cm-2) 
736593.494280 2016.000000 9.000000 20.000000 11.000000 51.000000 45.792000 31.865999 7.453700 
736593.514900 2016.000000 9.000000 20.000000 12.000000 21.000000 27.360001 28.938000 7.461200 
736593.521760 2016.000000 9.000000 20.000000 12.000000 31.000000 20.064003 28.292000 7.468100 
736593.535500 2016.000000 9.000000 20.000000 12.000000 51.000000 7.199997 27.570000 7.474200 
736593.544330 2016.000000 9.000000 20.000000 13.000000 3.000000 50.112000 27.528000 7.470800 
736593.577990 2016.000000 9.000000 20.000000 13.000000 52.000000 18.335999 30.309999 7.498400 
736593.692730 2016.000000 9.000000 20.000000 16.000000 37.000000 31.872002 58.930000 7.529800 
736593.699590 2016.000000 9.000000 20.000000 16.000000 47.000000 24.575996 61.011002 7.529600 
736593.706460 2016.000000 9.000000 20.000000 16.000000 57.000000 18.143997 63.108002 7.527300 
736593.713320 2016.000000 9.000000 20.000000 17.000000 7.000000 10.848000 65.219002 7.528900 
736593.720200 2016.000000 9.000000 20.000000 17.000000 17.000000 5.279999 67.347000 7.529400 
736594.411020 2016.000000 9.000000 21.000000 9.000000 51.000000 52.127998 52.625000 7.636700 
736594.428920 2016.000000 9.000000 21.000000 10.000000 17.000000 38.688004 47.533001 7.633400 
736594.446820 2016.000000 9.000000 21.000000 10.000000 43.000000 25.248001 42.710999 7.631300 
736594.464850 2016.000000 9.000000 21.000000 11.000000 9.000000 23.040001 38.231998 7.626300 
736594.482750 2016.000000 9.000000 21.000000 11.000000 35.000000 9.599998 34.313999 7.610700 
736594.503070 2016.000000 9.000000 21.000000 12.000000 4.000000 25.248001 30.768999 7.601300 
736594.536790 2016.000000 9.000000 21.000000 12.000000 52.000000 58.655998 27.926001 7.629600 
736594.608770 2016.000000 9.000000 21.000000 14.000000 36.000000 37.727997 36.428001 7.646400 
736594.615640 2016.000000 9.000000 21.000000 14.000000 46.000000 31.295998 37.990002 7.639700 
736594.643090 2016.000000 9.000000 21.000000 15.000000 26.000000 2.975998 44.933998 7.627100 
736594.649960 2016.000000 9.000000 21.000000 15.000000 35.000000 56.543999 46.806999 7.627600 
736594.656830 2016.000000 9.000000 21.000000 15.000000 45.000000 50.112000 48.719002 7.623900 
736594.663690 2016.000000 9.000000 21.000000 15.000000 55.000000 42.816002 50.666000 7.618500 
736594.670570 2016.000000 9.000000 21.000000 16.000000 5.000000 37.248001 52.648998 7.625800 
736594.677440 2016.000000 9.000000 21.000000 16.000000 15.000000 30.816002 54.660000 7.612400 
736594.684310 2016.000000 9.000000 21.000000 16.000000 25.000000 24.384003 56.692001 7.613200 
736594.691180 2016.000000 9.000000 21.000000 16.000000 35.000000 17.952003 58.750000 7.608800 
736595.389990 2016.000000 9.000000 22.000000 9.000000 21.000000 35.136002 58.987999 7.647000 
736595.396850 2016.000000 9.000000 22.000000 9.000000 31.000000 27.839996 56.939999 7.645000 
736595.403730 2016.000000 9.000000 22.000000 9.000000 41.000000 22.272003 54.910000 7.650100 
736595.410590 2016.000000 9.000000 22.000000 9.000000 51.000000 14.975998 52.909000 7.651000 
736595.417460 2016.000000 9.000000 22.000000 10.000000 1.000000 8.543999 50.932999 7.658000 
736595.431200 2016.000000 9.000000 22.000000 10.000000 20.000000 55.680000 47.084999 7.669300 
736595.438070 2016.000000 9.000000 22.000000 10.000000 30.000000 49.248001 45.222000 7.665800 
736595.444930 2016.000000 9.000000 22.000000 10.000000 40.000000 41.952003 43.407001 7.663200 
