DiaFrac	Hora	Sza	O3vert	NO2vert
271.2898	6.9553	90.782	261	2.76E15
271.2911	6.986	90.377	258	2.69E15
271.2924	7.0181	89.956	258	2.64E15
271.2938	7.0504	89.527	258	2.58E15
271.2952	7.0846	89.078	257	2.52E15
271.7835	18.8033	89.08	257	3.9E15
271.7849	18.8382	89.541	256	3.97E15
271.7864	18.8738	90.01	257	4.01E15
271.7879	18.9096	90.483	256	4.06E15
271.7894	18.946	90.964	257	4.14E15
272.2902	6.9642	90.775	277	2.54E15
272.2915	6.9956	90.361	275	2.51E15
272.2928	7.0279	89.934	275	2.45E15
272.2942	7.0604	89.505	272	2.41E15
272.2956	7.0946	89.055	272	2.38E15
272.7826	18.7828	89.068	275	3.55E15
272.7841	18.8175	89.526	275	3.58E15
272.7855	18.8526	89.99	275	3.62E15
272.787	18.8881	90.457	274	3.66E15
272.7885	18.9243	90.936	275	3.75E15
273.2905	6.971	90.796	280	2.45E15
273.2917	7.0019	90.387	279	2.4E15
273.2931	7.0343	89.961	278	2.36E15
273.2945	7.0669	89.531	277	2.31E15
273.2959	7.1011	89.08	277	2.31E15
273.7818	18.7624	89.056	275	3.41E15
273.7833	18.7985	89.532	275	3.45E15
273.7848	18.8353	90.018	275	3.51E15
273.7863	18.871	90.489	276	3.57E15
273.7878	18.9075	90.971	276	3.6E15
274.2908	6.9803	90.785	273	2.46E15
274.2921	7.0115	90.373	272	2.45E15
274.2935	7.0439	89.946	272	2.41E15
274.2949	7.0765	89.516	271	2.35E15
274.2963	7.1106	89.068	271	2.3E15
274.781	18.7447	89.08	270	3.44E15
274.7825	18.7793	89.536	267	3.46E15
274.7839	18.8144	89.999	268	3.52E15
274.7854	18.85	90.468	268	3.55E15
274.7869	18.8861	90.945	270	3.62E15
