             NaN   5.0000000e+00   5.0000000e+00   5.0000000e+00   5.0000000e+00   5.0000000e+00   7.0000000e+01   7.0000000e+01   7.0000000e+01   7.0000000e+01   7.0000000e+01   7.5000000e+01   7.5000000e+01   7.5000000e+01   7.5000000e+01   7.5000000e+01   1.1700000e+02   1.1700000e+02   1.1700000e+02   1.1700000e+02   1.1700000e+02   1.2600000e+02   1.2600000e+02   1.2600000e+02   1.2600000e+02   1.2600000e+02   1.5100000e+02   1.5100000e+02   1.5100000e+02   1.5100000e+02   1.5100000e+02   1.6600000e+02   1.6600000e+02   1.6600000e+02   1.6600000e+02   1.6600000e+02
             NaN   1.0000000e+00   2.0000000e+00   3.0000000e+00   4.0000000e+00   5.0000000e+00   1.0000000e+00   2.0000000e+00   3.0000000e+00   4.0000000e+00   5.0000000e+00   1.0000000e+00   2.0000000e+00   3.0000000e+00   4.0000000e+00   5.0000000e+00   1.0000000e+00   2.0000000e+00   3.0000000e+00   4.0000000e+00   5.0000000e+00   1.0000000e+00   2.0000000e+00   3.0000000e+00   4.0000000e+00   5.0000000e+00   1.0000000e+00   2.0000000e+00   3.0000000e+00   4.0000000e+00   5.0000000e+00   1.0000000e+00   2.0000000e+00   3.0000000e+00   4.0000000e+00   5.0000000e+00
   2.9014000e+03   1.2625412e-05   1.2625412e-05   1.2625412e-05   1.2625412e-05   1.2625412e-05   1.8315337e-04   1.8315337e-04   1.8315337e-04   1.8315337e-04   1.8315337e-04             NaN             NaN             NaN             NaN             NaN   5.2676269e-05   5.2676269e-05   5.2676269e-05   5.2676269e-05   5.2676269e-05   1.3444902e-05   1.3444902e-05   1.3444902e-05   1.3444902e-05   1.3444902e-05   3.2032505e-05   3.2032505e-05   3.2032505e-05   3.2032505e-05   3.2032505e-05   3.7450493e-05   3.7450493e-05   3.7450493e-05   3.7450493e-05   3.7450493e-05
   2.9015000e+03   1.2638453e-05   1.2638453e-05   1.2638453e-05   1.2638453e-05   1.2638453e-05   1.8331662e-04   1.8331662e-04   1.8331662e-04   1.8331662e-04   1.8331662e-04             NaN             NaN             NaN             NaN             NaN   5.2674389e-05   5.2674389e-05   5.2674389e-05   5.2674389e-05   5.2674389e-05   1.3445668e-05   1.3445668e-05   1.3445668e-05   1.3445668e-05   1.3445668e-05   3.2015452e-05   3.2015452e-05   3.2015452e-05   3.2015452e-05   3.2015452e-05   3.7459211e-05   3.7459211e-05   3.7459211e-05   3.7459211e-05   3.7459211e-05
   2.9016000e+03   1.2651493e-05   1.2651493e-05   1.2651493e-05   1.2651493e-05   1.2651493e-05   1.8347988e-04   1.8347988e-04   1.8347988e-04   1.8347988e-04   1.8347988e-04             NaN             NaN             NaN             NaN             NaN   5.2672510e-05   5.2672510e-05   5.2672510e-05   5.2672510e-05   5.2672510e-05   1.3446435e-05   1.3446435e-05   1.3446435e-05   1.3446435e-05   1.3446435e-05   3.1998398e-05   3.1998398e-05   3.1998398e-05   3.1998398e-05   3.1998398e-05   3.7467928e-05   3.7467928e-05   3.7467928e-05   3.7467928e-05   3.7467928e-05
   2.9017000e+03   1.2664534e-05   1.2664534e-05   1.2664534e-05   1.2664534e-05   1.2664534e-05   1.8364314e-04   1.8364314e-04   1.8364314e-04   1.8364314e-04   1.8364314e-04             NaN             NaN             NaN             NaN             NaN   5.2670630e-05   5.2670630e-05   5.2670630e-05   5.2670630e-05   5.2670630e-05   1.3447201e-05   1.3447201e-05   1.3447201e-05   1.3447201e-05   1.3447201e-05   3.1981344e-05   3.1981344e-05   3.1981344e-05   3.1981344e-05   3.1981344e-05   3.7476645e-05   3.7476645e-05   3.7476645e-05   3.7476645e-05   3.7476645e-05
   2.9018000e+03   1.2677574e-05   1.2677574e-05   1.2677574e-05   1.2677574e-05   1.2677574e-05   1.8380639e-04   1.8380639e-04   1.8380639e-04   1.8380639e-04   1.8380639e-04             NaN             NaN             NaN             NaN             NaN   5.2668750e-05   5.2668750e-05   5.2668750e-05   5.2668750e-05   5.2668750e-05   1.3447968e-05   1.3447968e-05   1.3447968e-05   1.3447968e-05   1.3447968e-05   3.1964290e-05   3.1964290e-05   3.1964290e-05   3.1964290e-05   3.1964290e-05   3.7485362e-05   3.7485362e-05   3.7485362e-05   3.7485362e-05   3.7485362e-05
   2.9019000e+03   1.2690615e-05   1.2690615e-05   1.2690615e-05   1.2690615e-05   1.2690615e-05   1.8396965e-04   1.8396965e-04   1.8396965e-04   1.8396965e-04   1.8396965e-04             NaN             NaN             NaN             NaN             NaN   5.2666871e-05   5.2666871e-05   5.2666871e-05   5.2666871e-05   5.2666871e-05   1.3448734e-05   1.3448734e-05   1.3448734e-05   1.3448734e-05   1.3448734e-05   3.1947236e-05   3.1947236e-05   3.1947236e-05   3.1947236e-05   3.1947236e-05   3.7494080e-05   3.7494080e-05   3.7494080e-05   3.7494080e-05   3.7494080e-05
   2.9020000e+03   1.2703655e-05   1.2703655e-05   1.2703655e-05   1.2703655e-05   1.2703655e-05   1.8413291e-04   1.8413291e-04   1.8413291e-04   1.8413291e-04   1.8413291e-04             NaN             NaN             NaN             NaN             NaN   5.2664991e-05   5.2664991e-05   5.2664991e-05   5.2664991e-05   5.2664991e-05   1.3449501e-05   1.3449501e-05   1.3449501e-05   1.3449501e-05   1.3449501e-05   3.1930182e-05   3.1930182e-05   3.1930182e-05   3.1930182e-05   3.1930182e-05   3.7502797e-05   3.7502797e-05   3.7502797e-05   3.7502797e-05   3.7502797e-05
   2.9021000e+03   1.2716696e-05   1.2716696e-05   1.2716696e-05   1.2716696e-05   1.2716696e-05   1.8429616e-04   1.8429616e-04   1.8429616e-04   1.8429616e-04   1.8429616e-04             NaN             NaN             NaN             NaN             NaN   5.2663112e-05   5.2663112e-05   5.2663112e-05   5.2663112e-05   5.2663112e-05   1.3450267e-05   1.3450267e-05   1.3450267e-05   1.3450267e-05   1.3450267e-05   3.1913128e-05   3.1913128e-05   3.1913128e-05   3.1913128e-05   3.1913128e-05   3.7511514e-05   3.7511514e-05   3.7511514e-05   3.7511514e-05   3.7511514e-05
   2.9022000e+03   1.2729736e-05   1.2729736e-05   1.2729736e-05   1.2729736e-05   1.2729736e-05   1.8445942e-04   1.8445942e-04   1.8445942e-04   1.8445942e-04   1.8445942e-04             NaN             NaN             NaN             NaN             NaN   5.2661232e-05   5.2661232e-05   5.2661232e-05   5.2661232e-05   5.2661232e-05   1.3451034e-05   1.3451034e-05   1.3451034e-05   1.3451034e-05   1.3451034e-05   3.1896074e-05   3.1896074e-05   3.1896074e-05   3.1896074e-05   3.1896074e-05   3.7520232e-05   3.7520232e-05   3.7520232e-05   3.7520232e-05   3.7520232e-05
   2.9023000e+03   1.2742776e-05   1.2742776e-05   1.2742776e-05   1.2742776e-05   1.2742776e-05   1.8462267e-04   1.8462267e-04   1.8462267e-04   1.8462267e-04   1.8462267e-04             NaN             NaN             NaN             NaN             NaN   5.2659352e-05   5.2659352e-05   5.2659352e-05   5.2659352e-05   5.2659352e-05   1.3451800e-05   1.3451800e-05   1.3451800e-05   1.3451800e-05   1.3451800e-05   3.1879020e-05   3.1879020e-05   3.1879020e-05   3.1879020e-05   3.1879020e-05   3.7528949e-05   3.7528949e-05   3.7528949e-05   3.7528949e-05   3.7528949e-05
