%BTS ozone retrieval from direct irradiance
%4 8 2017 Luca Egli (Format: Date/Time, TO3, Crit.) range: 300 -340 nm, with wl-shift
%Using Ozonesonde ozonsonde/ozonesonde_16091410.29Z.csv
%Effective ozone temperature 229.4 K
%Effective ozone height 25.0 km 
%Using ozone x-sections bremen
2016 09 16 11 40 34 285.7  9.3
2016 09 16 11 40 46 289.2  7.7
2016 09 16 11 40 59 285.2  9.4
2016 09 16 11 41 11 283.8 10.1
2016 09 16 11 41 24 286.0  8.1
2016 09 16 11 41 37 286.6  8.8
2016 09 16 11 41 49 283.3  8.9
2016 09 16 11 42 02 285.5  9.6
2016 09 16 11 42 14 287.3  8.9
2016 09 16 11 42 27 284.7  9.5
2016 09 16 11 42 39 285.9  9.4
2016 09 16 11 42 52 290.3  8.6
2016 09 16 11 43 04 285.9  9.3
2016 09 16 11 43 17 286.1  8.1
2016 09 16 11 43 30 289.8  8.7
2016 09 16 11 43 42 287.7  9.7
2016 09 16 11 43 55 286.3  9.2
2016 09 16 11 44 09 287.5  8.3
2016 09 16 11 44 23 285.2  9.3
2016 09 16 11 44 36 288.2  8.5
2016 09 16 11 44 49 287.5  7.7
2016 09 16 11 45 02 285.5  9.7
2016 09 16 11 45 15 288.7  9.2
2016 09 16 11 45 29 286.1  8.3
2016 09 16 11 45 42 290.0  8.9
2016 09 16 11 45 55 285.2 10.0
2016 09 16 11 46 09 287.8  9.5
2016 09 16 11 46 22 286.7  9.1
2016 09 16 11 46 35 287.3  7.9
2016 09 16 11 46 48 287.0  8.8
2016 09 16 11 47 01 284.9  8.6
2016 09 16 11 47 14 287.4  8.3
2016 09 16 11 47 26 289.3  8.0
2016 09 16 11 47 39 287.0  9.2
2016 09 16 11 47 52 286.2  9.6
2016 09 16 11 48 04 286.3  9.5
2016 09 16 11 48 17 286.2  8.7
2016 09 16 11 48 29 286.0  9.3
2016 09 16 11 48 42 285.0  8.3
2016 09 16 11 48 55 287.4  8.5
2016 09 16 11 49 08 285.0 10.2
2016 09 16 11 49 20 287.9  8.3
2016 09 16 11 49 32 285.6  8.5
2016 09 16 11 49 45 287.0  9.5
2016 09 16 11 49 58 287.0  8.7
2016 09 16 11 50 10 288.3  8.8
2016 09 16 11 50 23 287.1  9.7
2016 09 16 11 50 35 284.9  8.5
2016 09 16 11 50 48 287.2  8.0
2016 09 16 11 51 00 286.2  9.4
2016 09 16 11 51 13 286.8  9.0
2016 09 16 11 51 25 283.5  8.9
2016 09 16 11 51 38 289.4  9.0
2016 09 16 11 51 50 285.0  9.6
2016 09 16 11 52 02 289.2  8.8
2016 09 16 11 52 15 286.4  8.3
2016 09 16 11 52 27 286.2  8.7
2016 09 16 11 52 40 287.8  9.4
2016 09 16 11 52 52 285.7  8.2
2016 09 16 11 53 05 286.9  9.2
2016 09 16 11 53 17 286.9  8.8
2016 09 16 11 53 29 287.7  8.4
2016 09 16 11 53 42 288.9  8.1
2016 09 16 11 53 54 287.2  9.4
2016 09 16 11 54 07 288.5  8.6
2016 09 16 11 54 19 286.8  8.7
2016 09 16 11 54 32 285.3 10.0
2016 09 16 11 54 44 287.5  9.0
2016 09 16 11 54 57 286.5  9.0
2016 09 16 11 55 09 287.7  8.8
2016 09 16 11 55 21 287.8  9.9
2016 09 16 11 55 34 287.0  9.0
2016 09 16 11 55 46 287.4  9.5
2016 09 16 11 55 58 285.6  9.0
2016 09 16 11 56 11 285.4  8.9
2016 09 16 11 56 23 287.8  8.6
2016 09 16 11 56 35 286.9  9.6
2016 09 16 11 56 48 286.6  8.8
2016 09 16 11 57 00 287.0  9.0
2016 09 16 11 57 12 286.1  9.5
2016 09 16 11 57 25 288.0  8.4
2016 09 16 11 57 37 287.7  9.1
2016 09 16 11 57 49 288.7  8.2
2016 09 16 11 58 02 289.0  8.5
2016 09 16 11 58 14 287.8  9.2
2016 09 16 11 58 27 289.3  8.9
2016 09 16 11 58 39 286.7  8.7
2016 09 16 11 58 51 287.8  8.7
2016 09 16 11 59 04 285.5  8.4
2016 09 16 11 59 16 284.6 10.2
2016 09 16 11 59 28 288.1  8.1
2016 09 16 11 59 40 289.1  8.9
2016 09 16 11 59 53 288.4  8.8
2016 09 16 12 00 05 288.9  9.1
2016 09 16 12 00 17 289.7  8.1
2016 09 16 12 00 29 286.6  8.5
2016 09 16 12 00 41 291.5  8.5
2016 09 16 12 00 54 284.9  9.1
2016 09 16 12 01 06 285.3  9.6
2016 09 16 12 01 18 287.2  8.8
2016 09 16 12 01 30 288.2  9.3
2016 09 16 12 01 43 285.3  9.4
2016 09 16 12 01 55 287.3  8.6
2016 09 16 12 02 07 285.3  9.1
2016 09 16 12 02 20 289.7  8.2
2016 09 16 12 02 32 286.6  9.6
2016 09 16 12 02 44 285.3  9.9
2016 09 16 12 02 57 290.2  8.8
2016 09 16 12 03 09 287.7  8.2
2016 09 16 12 03 21 287.0  8.8
2016 09 16 12 03 33 286.9  8.9
2016 09 16 12 03 46 286.7  9.0
2016 09 16 12 03 58 289.0  7.7
2016 09 16 12 04 10 288.1  8.2
2016 09 16 12 04 23 287.6  8.6
2016 09 16 12 04 35 288.6  9.2
2016 09 16 12 04 47 287.6  8.9
2016 09 16 12 04 59 287.3  8.3
2016 09 16 12 05 12 286.6  9.5
2016 09 16 12 05 24 286.1  9.6
2016 09 16 12 05 36 286.3  8.6
2016 09 16 12 05 48 287.2  8.0
2016 09 16 12 06 00 286.0  8.8
2016 09 16 12 06 12 289.3  8.1
2016 09 16 12 06 25 288.3  8.8
2016 09 16 12 06 37 286.5  8.5
2016 09 16 12 06 49 285.1  9.0
2016 09 16 12 07 01 286.1  8.8
2016 09 16 12 07 13 287.7  8.4
2016 09 16 12 07 26 288.1  9.2
2016 09 16 12 07 38 284.5  9.8
2016 09 16 12 07 50 286.7  9.4
2016 09 16 12 08 02 288.3  8.6
2016 09 16 12 08 14 287.3  9.6
